ID,要素名,FR001-1,FR001-2,FR001-3,FR001-4,FR002-1,FR002-2,FR002-3,FR002-4,FR003-1,FR003-2,FR003-3,FR003-4,FR004-1,FR004-2,FR005-1,FR005-2,FR005-3,FR006-1,NFR001-1,NFR001-2,NFR001-3,NFR002-1,NFR002-2,NFR002-3,NFR003-1,NFR003-2,NFR004-1,NFR004-2,SC001,SC002,SC003,SC004,SC005,SC006,OP001,OP002,OP003,OP004,OP005,OP006,OP007,OP008,OP009,FN001,FN002,FN003,FN004,FN005,FN006,FN007,FN008,FN009,FN010,IMPL001,IMPL002,IMPL003,IMPL004,IMPL005,IMPL006,IMPL007,IMPL008,IMPL009,IMPL010,IMPL011,IMPL012,IMPL013,IMPL014,IMPL015,TEST001,TEST002,TEST003,TEST004,TEST005
FR001-1,OAuth 2.0認証フロー,○,△,○,○,×,×,×,×,×,×,×,×,×,×,×,△,×,×,△,△,×,○,○,×,○,○,×,×,×,×,○,×,×,×,×,×,○,×,×,×,×,×,×,○,○,×,×,×,×,○,×,×,×,×,×,○,○,○,×,×,×,×,×,×,×,×,○,×,×,×
FR001-2,Client ID/Secret設定,×,○,△,×,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,○,○,×,○,×,×,×,×,○,×,×,×,×,×,○,×,×,×,×,×,×,×,○,×,×,×,×,×,○,×,×,×,○,○,×,×,×,×,○,×,×,×,×,×,○,×,×,×,×
FR001-3,トークン取得・更新,○,△,○,△,×,×,×,×,×,×,×,×,×,×,×,×,×,×,△,△,×,○,○,×,○,○,×,×,×,×,○,×,×,×,×,×,○,×,×,×,×,×,×,○,○,×,×,×,×,○,×,×,×,×,×,○,×,○,×,×,×,×,×,×,×,×,○,×,×,×
FR001-4,認証URL生成,○,×,△,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,○,○,×,○,○,×,×,×,×,○,×,×,×,×,×,○,×,×,×,×,×,×,○,○,×,×,×,×,○,×,×,×,×,×,×,○,○,×,×,×,×,×,×,×,×,×,×,×,×
FR002-1,Zoom API呼び出し,×,×,×,×,○,○,○,○,×,×,×,×,△,△,×,×,×,×,○,○,×,○,○,×,×,○,×,×,×,×,×,○,×,×,×,×,×,○,×,×,×,×,×,×,○,○,×,×,×,○,×,×,×,×,×,×,○,×,×,×,○,×,○,○,×,×,×,×,×,○
FR002-2,録画リスト表示,×,×,×,×,○,○,△,△,×,×,×,×,×,×,○,×,△,×,×,×,×,○,○,×,×,×,×,×,×,×,×,○,×,×,×,×,×,○,△,×,×,×,×,×,○,×,×,×,×,○,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,×,×
FR002-3,期間フィルタリング,×,×,×,×,○,△,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,○,○,×,×,×,×,×,×,×,×,○,×,×,×,×,×,○,×,×,×,×,×,×,○,×,×,×,×,○,×,×,×,×,×,×,△,×,×,×,×,×,×,×,×,×,×,×,×,○
FR002-4,ページネーション,×,×,×,×,○,△,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,○,○,×,×,×,×,×,×,×,×,○,×,×,×,×,×,○,×,×,×,×,×,×,○,×,×,×,×,○,×,×,×,×,×,×,△,×,×,×,×,×,×,×,×,×,×,×,×,○
FR003-1,並列ダウンロード,×,×,×,×,×,×,×,×,○,○,○,×,×,×,×,×,△,×,○,○,○,○,○,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,△,○,×,×,×,×,×,×,○,×,×,○,○,×,×,×,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×
FR003-2,進捗表示,×,×,×,×,×,×,×,×,○,○,×,×,×,×,○,×,×,×,×,×,×,○,○,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,○,×,○,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,×
